date,text,pos_tagged
2022-12-01 22:46:00,도준이 니 촉이 조은기가 운이 조은기가,"[('도준', 'Noun'), ('이', 'Josa'), ('니', 'Noun'), ('촉', 'Noun'), ('이', 'Josa'), ('조', 'Modifier'), ('은기', 'Noun'), ('가', 'Josa'), ('운', 'Noun'), ('이', 'Josa'), ('조', 'Modifier'), ('은기', 'Noun'), ('가', 'Josa')]"
2022-12-01 21:55:00,한가지 예를들어줄까,"[('한가지', 'Noun'), ('예', 'Noun'), ('를', 'Josa'), ('들어줄까', 'Verb')]"
2022-12-01 21:43:00,같은게 뭔지알려줄까,"[('같은게', 'Adjective'), ('뭔', 'Modifier'), ('지', 'Modifier'), ('알려', 'Noun'), ('줄까', 'Verb')]"
2022-12-01 21:29:00,왜못가냐,"[('왜못', 'Noun'), ('가냐', 'Verb')]"
2022-12-01 20:43:00,따악 상승삼각형 패턴이네요,"[('따', 'Verb'), ('악', 'Noun'), ('상승', 'Noun'), ('삼각형', 'Noun'), ('패턴', 'Noun'), ('이네', 'Josa'), ('요', 'Noun')]"
2022-12-01 20:50:00,따악 상승삼각형 패턴이네요,"[('따', 'Verb'), ('악', 'Noun'), ('상승', 'Noun'), ('삼각형', 'Noun'), ('패턴', 'Noun'), ('이네', 'Josa'), ('요', 'Noun')]"
2022-12-01 20:33:00,12월 산타렐리 기대해 동학개미들이 반대하는 금투세 유예해야 옳다고 생각한다,"[('12월', 'Number'), ('산타', 'Noun'), ('렐리', 'Noun'), ('기대해', 'Adjective'), ('동학', 'Noun'), ('개미', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('반대', 'Noun'), ('하는', 'Verb'), ('금투세', 'Noun'), ('유예', 'Noun'), ('해야', 'Verb'), ('옳다고', 'Adjective'), ('생각', 'Noun'), ('한다', 'Verb')]"
2022-12-01 19:48:00,1년전 미래에서 와썹요,"[('1년', 'Number'), ('전', 'Foreign'), ('미래', 'Noun'), ('에서', 'Josa'), ('와썹', 'Noun'), ('요', 'Josa')]"
2022-12-01 18:49:00,35만원에도 용감하게 사던 개미들,"[('35만원', 'Number'), ('에도', 'Foreign'), ('용감하게', 'Adjective'), ('사던', 'Verb'), ('개미', 'Noun'), ('들', 'Suffix')]"
2022-12-01 18:47:00,빈살만이 미국이랑 사이 좋아서,"[('빈살', 'Noun'), ('만이', 'Josa'), ('미국', 'Noun'), ('이랑', 'Josa'), ('사이', 'Noun'), ('좋아서', 'Adjective')]"
2022-12-01 18:50:00,빈살만이 미국이랑 사이 좋아서,"[('빈살', 'Noun'), ('만이', 'Josa'), ('미국', 'Noun'), ('이랑', 'Josa'), ('사이', 'Noun'), ('좋아서', 'Adjective')]"
2022-12-01 17:59:00,개미털고가려나봐,"[('개미', 'Noun'), ('털고가려나', 'Verb'), ('봐', 'Verb')]"
2022-12-01 17:52:00,이놈의 네이버,"[('이', 'Determiner'), ('놈', 'Noun'), ('의', 'Josa'), ('네이버', 'Noun')]"
2022-12-01 17:45:00,대표부터 바꿔라,"[('대표', 'Noun'), ('부터', 'Josa'), ('바꿔라', 'Verb')]"
2022-12-01 17:36:00,1년전 미래에서 와썹요,"[('1년', 'Number'), ('전', 'Foreign'), ('미래', 'Noun'), ('에서', 'Josa'), ('와썹', 'Noun'), ('요', 'Josa')]"
2022-12-01 17:35:00,19에 못 팔아 안달이가  한달뒤 30에 팔아라,"[('19', 'Number'), ('에', 'Josa'), ('못', 'Noun'), ('팔', 'Noun'), ('아', 'Josa'), ('안달', 'Noun'), ('이', 'Suffix'), ('가', 'Josa'), ('한', 'Determiner'), ('달뒤', 'Noun'), ('30', 'Number'), ('에', 'Josa'), ('팔아라', 'Verb')]"
2022-12-01 20:48:00,19에 못 팔아 안달이가  한달뒤 30에 팔아라,"[('19', 'Number'), ('에', 'Josa'), ('못', 'Noun'), ('팔', 'Noun'), ('아', 'Josa'), ('안달', 'Noun'), ('이', 'Suffix'), ('가', 'Josa'), ('한', 'Determiner'), ('달뒤', 'Noun'), ('30', 'Number'), ('에', 'Josa'), ('팔아라', 'Verb')]"
2022-12-01 17:23:00,네이버 빈살만 묻었군요,"[('네이버', 'Noun'), ('빈살', 'Noun'), ('만', 'Josa'), ('묻었군요', 'Verb')]"
2022-12-01 17:09:00,시간외 꼬신다 내일 대폭락각이네,"[('시간', 'Noun'), ('외', 'Noun'), ('꼬신다', 'Noun'), ('내일', 'Noun'), ('대', 'Modifier'), ('폭락', 'Noun'), ('각', 'Noun'), ('이네', 'Josa')]"
2022-12-01 17:00:00,한번은 가겠지네이버도 네옴시티,"[('한번', 'Noun'), ('은', 'Josa'), ('가겠지', 'Verb'), ('네이버', 'Noun'), ('도', 'Josa'), ('네', 'Determiner'), ('옴', 'Noun'), ('시티', 'Noun')]"
2022-12-01 16:40:00,빙구들 삽질하네,"[('빙구', 'Noun'), ('들', 'Suffix'), ('삽질', 'Noun'), ('하네', 'Verb')]"
2022-12-01 16:37:00,황당하게,"[('황당하게', 'Adjective')]"
2022-12-01 16:31:00,시간외 상한가네,"[('시간', 'Noun'), ('외', 'Noun'), ('상한', 'Noun'), ('가네', 'Verb')]"
2022-12-01 16:21:00,31만원에 22주 물렸음,"[('31만원', 'Number'), ('에', 'Foreign'), ('22', 'Number'), ('주', 'Noun'), ('물렸음', 'Verb')]"
2022-12-01 17:20:00,31만원에 22주 물렸음,"[('31만원', 'Number'), ('에', 'Foreign'), ('22', 'Number'), ('주', 'Noun'), ('물렸음', 'Verb')]"
2022-12-01 16:19:00,어이없네,"[('어이없네', 'Adjective')]"
2022-12-01 17:25:00,어이없네,"[('어이없네', 'Adjective')]"
2022-12-01 16:16:00,용두사미,"[('용두사미', 'Noun')]"
2022-12-01 16:10:00,물렸네요,"[('물렸네요', 'Verb')]"
2022-12-01 16:06:00,저가로 공매상환하며 매집중,"[('저가', 'Noun'), ('로', 'Josa'), ('공', 'Modifier'), ('매상', 'Noun'), ('환하며', 'Adjective'), ('매', 'Modifier'), ('집중', 'Noun')]"
2022-12-01 16:03:00,거래량이 실린 장대 음봉,"[('거래량', 'Noun'), ('이', 'Josa'), ('실린', 'Verb'), ('장대', 'Noun'), ('음봉', 'Noun')]"
2022-12-01 15:57:00,레알 욕나오네,"[('레알', 'Noun'), ('욕', 'Noun'), ('나오네', 'Verb')]"
2022-12-01 15:55:00,갭 메꿔버렸네,"[('갭', 'Verb'), ('메', 'Noun'), ('꿔', 'Verb'), ('버렸네', 'Verb')]"
2022-12-01 15:52:00,500원 하락장이긴 하락장인가 보다,"[('500원', 'Number'), ('하락', 'Noun'), ('장이', 'Suffix'), ('긴', 'Verb'), ('하락', 'Noun'), ('장', 'Suffix'), ('인가', 'Josa'), ('보다', 'Verb')]"
2022-12-01 15:49:00,카카오는 266 빨강인데,"[('카카오', 'Noun'), ('는', 'Josa'), ('266', 'Number'), ('빨강', 'Noun'), ('인데', 'Josa')]"
2022-12-01 15:43:00,한국 외인들 무능력,"[('한국', 'Noun'), ('외', 'Noun'), ('인들', 'Josa'), ('무능력', 'Noun')]"
2022-12-01 15:40:00,똑같은 패턴 언제까지,"[('똑같은', 'Adjective'), ('패턴', 'Noun'), ('언제', 'Noun'), ('까지', 'Josa')]"
2022-12-01 15:40:00,39만원,"[('39만원', 'Number')]"
2022-12-01 15:39:00,카카오 매매주체를,"[('카카오', 'Noun'), ('매매', 'Noun'), ('주체', 'Noun'), ('를', 'Josa')]"
2022-12-01 15:38:00,이럴거면 왜올림,"[('이럴거면', 'Adjective'), ('왜', 'Noun'), ('올림', 'Verb')]"
2022-12-01 15:38:00,물렸네,"[('물렸네', 'Verb')]"
2022-12-01 15:38:00,181 대기중,"[('181', 'Number'), ('대기', 'Noun'), ('중', 'Suffix')]"
2022-12-01 15:36:00,찬티질할때 알아봤다,"[('찬티질', 'Noun'), ('할', 'Verb'), ('때', 'Noun'), ('알아봤다', 'Verb')]"
2022-12-01 15:36:00,개미 털기,"[('개미', 'Noun'), ('털기', 'Verb')]"
2022-12-01 15:35:00,027,"[('027', 'Number')]"
2022-12-01 15:35:00,붕떠서 시작해서,"[('붕떠', 'Noun'), ('서', 'Josa'), ('시작', 'Noun'), ('해서', 'Verb')]"
2022-12-01 15:34:00,쓰레기네,"[('쓰레기', 'Noun'), ('네', 'Josa')]"
2022-12-01 15:34:00,오늘 동호가에 살짝 음봉 보이고,"[('오늘', 'Noun'), ('동', 'Modifier'), ('호가', 'Noun'), ('에', 'Josa'), ('살짝', 'Noun'), ('음봉', 'Noun'), ('보이', 'Noun'), ('고', 'Josa')]"
2022-12-01 15:33:00,개미형들 사랑해,"[('개미', 'Noun'), ('형', 'Noun'), ('들', 'Suffix'), ('사랑', 'Noun'), ('해', 'Verb')]"
2022-12-01 15:33:00,500원,"[('500원', 'Number')]"
2022-12-01 15:33:00,진짜 욕나온다 장초에 팔껄,"[('진짜', 'Noun'), ('욕', 'Noun'), ('나온다', 'Verb'), ('장초', 'Noun'), ('에', 'Josa'), ('팔껄', 'Noun')]"
2022-12-01 15:31:00,500원 올랐어,"[('500원', 'Number'), ('올랐어', 'Verb')]"
2022-12-01 15:31:00,세계최악이네,"[('세계', 'Noun'), ('최악', 'Noun'), ('이네', 'Josa')]"
2022-12-01 15:30:00,오늘 500원 상승,"[('오늘', 'Noun'), ('500원', 'Number'), ('상승', 'Noun')]"
2022-12-01 15:29:00,동시호가도 밀리네,"[('동', 'Modifier'), ('시', 'Modifier'), ('호가', 'Noun'), ('도', 'Josa'), ('밀리', 'Noun'), ('네', 'Josa')]"
2022-12-01 15:25:00,금투세가 도입되면 네이버에도 파장이 많이 올까요,"[('금투세', 'Noun'), ('가', 'Josa'), ('도입', 'Noun'), ('되면', 'Verb'), ('네이버', 'Noun'), ('에도', 'Josa'), ('파장', 'Noun'), ('이', 'Josa'), ('많이', 'Adverb'), ('올까', 'Verb'), ('요', 'Noun')]"
2022-12-01 15:25:00,갭 메우러 갈거 같아서,"[('갭', 'Verb'), ('메우러', 'Verb'), ('갈거', 'Verb'), ('같아서', 'Adjective')]"
2022-12-01 15:23:00,이거 18만원으로 달 간다,"[('이', 'Determiner'), ('거', 'Noun'), ('18만원', 'Number'), ('으로', 'Foreign'), ('달', 'Noun'), ('간다', 'Noun')]"
2022-12-01 15:22:00,도그같은녀연,"[('도그', 'Noun'), ('같은', 'Adjective'), ('녀연', 'Noun')]"
2022-12-01 15:21:00,24만원대는 우짜라고,"[('24만원', 'Number'), ('대는', 'Foreign'), ('우짜', 'Noun'), ('라고', 'Josa')]"
2022-12-01 15:20:00,미친,"[('미친', 'Adjective')]"
2022-12-01 15:20:00,무슨일이냐,"[('무슨', 'Modifier'), ('일이', 'Noun'), ('냐', 'Josa')]"
2022-12-01 15:19:00,195,"[('195', 'Number')]"
2022-12-01 15:17:00,대표뇬,"[('대표', 'Noun'), ('뇬', 'Noun')]"
2022-12-01 15:17:00,내일도,"[('내일', 'Noun'), ('도', 'Josa')]"
2022-12-01 15:17:00,현재 가격 1885 띄어서 읽어봐,"[('현재', 'Noun'), ('가격', 'Noun'), ('1885', 'Number'), ('띄어서', 'Verb'), ('읽어', 'Verb'), ('봐', 'Verb')]"
2022-12-01 15:17:00,뭔데 얘는,"[('뭔', 'Modifier'), ('데', 'Noun'), ('얘', 'Noun'), ('는', 'Josa')]"
2022-12-01 15:16:00,하허탈하네,"[('하', 'Exclamation'), ('허탈하네', 'Adjective')]"
2022-12-01 15:16:00,정신적 충격이 너무 큼,"[('정신', 'Noun'), ('적', 'Suffix'), ('충격', 'Noun'), ('이', 'Josa'), ('너무', 'Adverb'), ('큼', 'Verb')]"
2022-12-01 15:16:00,음봉이야,"[('음봉', 'Noun'), ('이야', 'Josa')]"
2022-12-01 15:15:00,053,"[('053', 'Number')]"
2022-12-01 15:15:00,진짜 x같네,"[('진짜', 'Noun'), ('x', 'Alpha'), ('같네', 'Adjective')]"
2022-12-01 15:13:00,포쉬마크 타격이 크네,"[('포쉬', 'Noun'), ('마크', 'Noun'), ('타격', 'Noun'), ('이', 'Josa'), ('크네', 'Verb')]"
2022-12-01 15:13:00,미끄럼틀이가,"[('미끄럼틀', 'Noun'), ('이', 'Suffix'), ('가', 'Josa')]"
2022-12-01 15:12:00,종가,"[('종가', 'Noun')]"
2022-12-01 15:10:00,내가 이럴줄 알고 30만 192500원일때 매도 했다,"[('내', 'Noun'), ('가', 'Josa'), ('이럴줄', 'Adjective'), ('알', 'Noun'), ('고', 'Josa'), ('30만', 'Number'), ('192500원', 'Number'), ('일때', 'Foreign'), ('매도', 'Noun'), ('했다', 'Verb')]"
2022-12-01 15:09:00,장초 입터는거 보고,"[('장초', 'Noun'), ('입터', 'Noun'), ('는', 'Josa'), ('거', 'Noun'), ('보고', 'Noun')]"
2022-12-01 15:09:00,짱나네,"[('짱', 'VerbPrefix'), ('나네', 'Verb')]"
2022-12-01 15:09:00,네이버 레알 쓰레기 종목,"[('네이버', 'Noun'), ('레알', 'Noun'), ('쓰레기', 'Noun'), ('종목', 'Noun')]"
