date,text
2022-12-04 21:51:00,애는 배당 안주지
2022-12-04 20:13:00,금투세 대주주 50억 절충뉴스
2022-12-04 17:46:00,윤석열 당시 검찰총장을 감찰하고 징계 실무 총괄 박은정 검사 한동후니 압색중 증거인멸 막으려다 독직폭행 기소되었던 정진웅 검사
2022-12-04 15:41:00,금투세만 유예되도 지수 3000간다
2022-12-04 15:08:00,미래 차기검찰총장 예언해본다 아무래도 박은정 검사도 자질이 충분하다 가짜 조작날조 검사  한동후니 사수 박영수 충분히 단죄할수
2022-12-04 13:18:00,미래 차기검찰총장 예언해본다 아무래도 대법원 독직폭행 무죄받은 검사
2022-12-04 13:08:00,대법원 한동훈 독직폭행 정진웅 검사 무죄 확정
2022-12-04 13:02:00,쯤
2022-12-04 12:37:00,진짜 박영수  한도후가 박그네 골로 보낼때랑 지금이랑 시나리오는 거진 유사한듯
2022-12-04 11:29:00,제약바이오  주요기업별 연구성과 발표일정
2022-12-04 11:06:00,대통령 한번 잘못 선택 했을 뿐인데
2022-12-04 11:46:00,답답한 양반일세 그럼
2022-12-05 09:21:00,국가부채 따블로 늘려놓고
2022-12-04 11:01:00,동지들 날도 추운데 건강들
2022-12-04 08:57:00,속보 삼바1조원규모 생산계약체결
2022-12-03 20:12:00,박정희 각하 전두환 각하 뒤를 이를 영웅 하는짓으로 봐도 하는정책으로 봐도
2022-12-03 19:51:00,한동훈은  티비좃선 편집국장이다
2022-12-03 15:46:00,개금찰정권이 2찍글그니 주식쟁이 생각해줄것같나 당신들을 위한 정책 내놓을것 같냐 말이다
2022-12-03 15:20:00,천기누설해본다 미래 차기검찰총장 예언해본다
2022-12-03 13:52:00,정신나간자들을 보면불쌍타
2022-12-03 12:50:00,2찍 늘그니 주식쟁이들아 삼생법은 생각하냐
2022-12-03 12:46:00,2찍 늘그니면서 주식쟁이들 개금찰정권이 너들 주식쟁이 위한 정책을 한게 뭐있냐
2022-12-03 12:38:00,야이 2찍 늘그니 OOO들아 화물연대가 소위 귀족노조냐 뭐가 불법인지 알면 혀라도 놀려바라
2022-12-03 22:32:00,홍어깽깽이
2022-12-03 10:41:00,화물연대 파업 지지한다 안전운임제 연장 지지한다
2022-12-03 11:49:00,애덜만도못한 양아치노조없에야
2022-12-03 12:19:00,화물연대 파업 지지한다 안전운임제 연장 지지한다
2022-12-03 09:48:00,가만히 생각해보면 정권 개금찰이 이태원 참사보다 대장동 수사 올인하는 이유가혹시  사수인 박영수 덮을려고
2022-12-03 09:41:00,의료사고 범죄 의사들 면허 박탈해야하고 개금찰 직권남용 직무유지 범죄검찰도 변호사 면허 박탈해야함
2022-12-03 09:30:00,개금찰이 티키타카 축구하듯 유동규 남욱 이용한듯대장동 재판이 진행되니 진실이 드러나겠네
2022-12-03 09:17:00,아침부터 안티들설치는거보니
2022-12-03 07:50:00,주주들아
2022-12-03 09:21:00,주주들아 얘는그래도오래있네
2022-12-03 07:40:00,뭐해 어여 나오지 않고서
2022-12-03 02:25:00,호날두에게 선물해주고싶어요
2022-12-03 02:17:00,한국축구 미쳤다 대장동 재판도 미쳤다
2022-12-03 02:22:00,호날두야 고마워
2022-12-03 02:14:00,축 한국 월드컵16강 진출
2022-12-02 23:36:00,나스닥급락출발 확끈허게
2022-12-02 23:11:00,삼바 넌 얼마가 될 상인가 사 팔어
2022-12-02 18:47:00,이번조정으로
2022-12-02 17:52:00,박스권 하단서 반등을
2022-12-02 17:42:00,팔고싶으면 월장
2022-12-02 17:03:00,단일가에 던지는호구는
2022-12-02 15:56:00,챠트보니
2022-12-02 15:39:00,삼성바이오로직스 보유하신분들이라면
2022-12-02 15:35:00,얘는 움직임이 맨날 똑같어
2022-12-02 14:48:00,오늘 털린개미들 월장
2022-12-02 14:39:00,삭제된 게시물의 답글몬소린지 철새왔네
2022-12-02 14:21:00,개미가 지쳐서쓰러질때
2022-12-02 13:52:00,재판부 위믹스 상폐 결정 유예 고려
2022-12-02 13:27:00,저주의신한투자증권
2022-12-02 13:23:00,에이치시티
2022-12-02 13:13:00,거래량은 맘에 쏙드네요
2022-12-02 12:57:00,당분간 주가가 폭포수처럼
2022-12-02 12:54:00,박스권하단임 지금던지면
2022-12-02 12:43:00,쫄지말고 기다려요
2022-12-02 12:09:00,차트다무너짐 8485까진 무조건조정나온다
2022-12-02 12:13:00,모르면 가만있길 내가
2022-12-02 12:03:00,필독 공매도는 나쁜게아님
2022-12-02 12:00:00,빠질때도 없구먼
2022-12-02 11:26:00,무기한 공매도
2022-12-02 11:17:00,숏커버링 임박
2022-12-02 11:13:00,기간 가격조정 이정도면
2022-12-02 11:01:00,삼바 함 시세나올때는됐는데
2022-12-02 10:46:00,네이버는 잘잡은듯
2022-12-02 09:58:00,느긋하게 좋은 가격에 물량 담을수 있는 기회를 노려보자 85만 담을기회온다고본다
2022-12-02 09:42:00,875아래로 확빼든지
2022-12-02 09:41:00,아 송아지 물거너갔다
2022-12-02 09:44:00,장시작 1시간밖에 안됐구먼
2022-12-02 09:33:00,삼바야 지수보다먼저
2022-12-02 09:27:00,외인매수세 유입중
2022-12-02 09:23:00,875아래서는 분할매도
2022-12-02 08:29:00,오늘 흐름이 변곡점될듯
2022-12-02 07:22:00,1030 미채권 폭락
2022-12-02 07:12:00,송도 삼바 기숙사 짓고 자체 운영함이 어떤지
2022-12-02 06:26:00,일본감독은명장 벤투는 한수아래
2022-12-02 06:02:00,일본 스페인꺽고 16강진출
2022-12-01 22:32:00,글이 지워지네 불안들 한가보지 공매도쉑히덜 개금찰쉑히덜
2022-12-01 19:05:00,미국만 부자되는 세상
2022-12-01 18:56:00,바이오 달아오른다증권가 줄줄이 비중확대 톱픽은
2022-12-01 17:48:00,긴급 시간없어요 10분밖에
2022-12-01 15:54:00,오늘도
2022-12-01 15:30:00,공매도쉑히덜 공매둥절하지요 쌈바서 설치다 골로간다했다
2022-12-01 15:21:00,낼장 보내겠다는건데
2022-12-01 14:55:00,항상 억지로 올리는 느낌
2022-12-01 14:13:00,시간없어요 언능붙어요
2022-12-01 13:58:00,내일은 85 깨지겠구만
2022-12-01 14:04:00,설레발 금지
2022-12-01 12:58:00,순양생활과학
2022-12-01 12:40:00,동지들이여 고수들은 삼생법으로 재드라곤과함께 부자될 길을 본다 음봉주면 차분히 차곡차곡 물량 모아가자
2022-12-01 12:45:00,음봉주면 차분히 차곡차곡 물량 모아가면
2022-12-01 12:29:00,털리면 호구임 지금
2022-12-01 12:14:00,삭제된 게시물의 답글1빠졌구먼  쫄긴
2022-12-01 12:11:00,여기서 털리면 호구임
2022-12-01 11:58:00,내가 오늘들어올정도면
2022-12-01 11:15:00,흠 퍼120배라
2022-12-01 11:00:00,함 줄자린데 더담아요
2022-12-01 10:57:00,공매도쉑히덜  쌈바서 설치다 골로가는거지
2022-12-01 10:45:00,금투세 민주당 뒷돈 받은거 확실하다
2022-12-01 10:45:00,테고사이언스 매수탐
2022-12-01 10:43:00,환율악재 반영 예상
2022-12-01 10:42:00,달러가치 하락과 환율안정이 시장에 우호적으로 보이지만
2022-12-01 10:31:00,추세는 여전하며 좋은 가격에 물량을 보유할수 있느냐가 관건
2022-12-01 10:15:00,음봉주면 진득하게 차곡차곡 물량모아가자 공매도쉑히덜 잡아족치며 쌈바200만가즈아
2022-12-01 09:38:00,오늘 주겠다는데 쫄긴
2022-12-01 09:34:00,삼바 naver보유중
2022-12-01 09:32:00,오늘 수급이좋은데
2022-12-01 09:30:00,막판개미털기에 당했구먼요
2022-12-01 09:27:00,시간없어요 언능
2022-12-01 09:21:00,긴급 쫄지말고 풀매수하셔요
2022-12-01 09:17:00,삼바 함가자 peace가
2022-12-01 09:13:00,883에 왠떡이냐 추가매수완료
2022-12-01 09:05:00,오늘892에 담았네요
2022-12-01 08:48:00,허허여기 분식회계 맛집아니냐
2022-12-01 08:04:00,오늘같으날은 개나 소나
2022-12-01 05:44:00,영하10도 강추위
2022-12-01 05:09:00,나스닥 확끈허게 오르네요
2022-11-30 22:04:00,가만히 생각해보면 정권 개금찰이 미치도록 대장동 수사 매달리는 이유가혹시  사수인 박영수 덮을려고
2022-11-30 21:57:00,장현석양김수희남행열차
2022-11-30 20:50:00,가만히 군부독재와 개금찰 현정권이 매우 유사하다
2022-11-30 21:39:00,가만히 군부독재와 개금찰 현정권이 매우 유사하다
2022-11-30 21:52:00,가만히 군부독재와 개금찰 현정권이 매우 유사하다
2022-11-30 20:13:00,이상민 명언경찰 배치한다고 막을수 있었던게 아니다한달후 개금찰정권의 메시지
2022-11-30 20:05:00,대박 매불쇼 5시간전 올렸는데 조회수 32만이다 박지원 이재오 진보와 보수와 정치거물 매불쇼는 잼있다
2022-11-30 15:05:00,지금은 방산주 모을때임
2022-11-30 14:52:00,오전장5만주이상나오면
2022-11-30 14:28:00,10명중2명만 좋아한단얘기
2022-11-30 14:15:00,수급이붙질 않으니
2022-11-30 13:10:00,공매도쉑히덜 이제 말길을 알아쳐들어먹나 디지긴 싫은 모양이지
2022-11-30 13:02:00,공매도쉑히덜과 개금찰정권 공통점은
2022-11-30 12:54:00,곽상도재판 과정보면서 박영수 수사 제대로되는 지켜볼거고 어설프게한다하면 윤석열과장검사 저축은행은폐수사
